antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"CAM_Cluster=0, Global_intensity=Low, Attention_Type=Early",EDP_State=Lower,0.16325427342292612,0.5690866867171737,0.1333688658773366,0.8169395084184506,1.435527358988202,1.0,0.04046303232266403,2.3539394522540333,0.3625855270494148,0.2226629039229146,0.5751802370946958,0.5256477421944008
"Voltage=High, CAM_Cluster=0, Attention_Type=Early",EDP_State=Lower,0.08340503293105417,0.5690866867171737,0.06752198576160201,0.8095672813584079,1.4225728702747689,1.0,0.020057291915331635,2.262811329674056,0.32407805300864095,0.1154281697840603,0.5580718609253014,0.46410850922524965
"Global_intensity=Low, Attention_Type=Early",EDP_State=Lower,0.19647466402710625,0.5690866867171737,0.15691171431834622,0.7986358704076888,1.4033641781618362,1.0,0.04510059874329045,2.139970580436885,0.3577069392079369,0.257803019878154,0.5327038562390679,0.5371806879098558
"CAM_Cluster=0, Voltage=Medium",EDP_State=Lower,0.06481897437849773,0.5690866867171737,0.05176076445730384,0.798543404205333,1.4032016964090313,1.0,0.014873149091839198,2.1389883591700873,0.30726037976134535,0.08891388511039029,0.5324892743277981,0.4447487495063673
"CAM_Cluster=0, Global_intensity=Low",EDP_State=Lower,0.19724368980089085,0.5690866867171737,0.15750561541097194,0.7985331017178151,1.4031835928621406,1.0,0.04525685750631299,2.13887897692884,0.35793537703438105,0.25870435217608806,0.5324653658357643,0.5376511055210074
"Global_reactive_power=High, CAM_Cluster=0, Attention_Type=Early",EDP_State=Lower,0.0753416834811741,0.5690866867171737,0.06012867857006891,0.7980798383021729,1.4023871176919747,1.0,0.017252729546073528,2.134077695161946,0.310309359318752,0.1029072570661593,0.5314134990178442,0.4518690223206988
"CAM_Cluster=0, Global_intensity=Low, Global_reactive_power=Low, Attention_Type=Early",EDP_State=Lower,0.06958541135264781,0.5690866867171737,0.05552213804393345,0.7978991136885873,1.4020695481233942,1.0,0.01592200685340351,2.1321693395190846,0.3082159529162675,0.09521073797461743,0.530994100015737,0.4477313499698874
"Global_intensity=Low, Attention_Type=Early, Global_reactive_power=Medium",EDP_State=Lower,0.06334944988007767,0.5690866867171737,0.050534891689191765,0.7977163461538462,1.4017483887306217,1.0,0.01448356315158271,2.130242879686938,0.30598947293262596,0.08684444677064798,0.5305699601038165,0.4432581677251082
"CAM_Cluster=0, Global_intensity=Low, Global_reactive_power=Medium",EDP_State=Lower,0.06369969924239541,0.5690866867171737,0.050656717554345754,0.7952426488166386,1.3974016039701533,1.0,0.014406066767610491,2.1045071680817995,0.3037338641573093,0.08701964580008893,0.5248293685255192,0.4421283553551892
"CAM_Cluster=0, Attention_Type=Early",EDP_State=Lower,0.287912589941752,0.5690866867171737,0.22770777020596186,0.7908920212625288,1.3897566745496341,1.0,0.06386054833184995,2.060721527148541,0.39384150769350396,0.3618478366082664,0.5147330743985973,0.5955102324104753
